Name,Team,Number,Position,Age,Height,Weight,Salary,Altura_em_Metros
Avery Bradley,Boston Celtics,0.0,PG,25.0,6-2,180.0,7730337.0,1.88
Jae Crowder,Boston Celtics,99.0,SF,25.0,6-6,235.0,6796117.0,1.98
John Holland,Boston Celtics,30.0,SG,27.0,6-5,205.0,2839073.0,1.96
R.J. Hunter,Boston Celtics,28.0,SG,22.0,6-5,185.0,1148640.0,1.96
Jonas Jerebko,Boston Celtics,8.0,PF,29.0,6-10,231.0,5000000.0,2.08
Amir Johnson,Boston Celtics,90.0,PF,29.0,6-9,240.0,12000000.0,2.06
Jordan Mickey,Boston Celtics,55.0,PF,21.0,6-8,235.0,1170960.0,2.03
Kelly Olynyk,Boston Celtics,41.0,C,25.0,7-0,238.0,2165160.0,2.13
Terry Rozier,Boston Celtics,12.0,PG,22.0,6-2,190.0,1824360.0,1.88
Marcus Smart,Boston Celtics,36.0,PG,22.0,6-4,220.0,3431040.0,1.93
Jared Sullinger,Boston Celtics,7.0,C,24.0,6-9,260.0,2569260.0,2.06
Isaiah Thomas,Boston Celtics,4.0,PG,27.0,5-9,185.0,6912869.0,1.75
Evan Turner,Boston Celtics,11.0,SG,27.0,6-7,220.0,3425510.0,2.01
James Young,Boston Celtics,13.0,SG,20.0,6-6,215.0,1749840.0,1.98
Tyler Zeller,Boston Celtics,44.0,C,26.0,7-0,253.0,2616975.0,2.13
Bojan Bogdanovic,Brooklyn Nets,44.0,SG,27.0,6-8,216.0,3425510.0,2.03
Markel Brown,Brooklyn Nets,22.0,SG,24.0,6-3,190.0,845059.0,1.91
Wayne Ellington,Brooklyn Nets,21.0,SG,28.0,6-4,200.0,1500000.0,1.93
Rondae Hollis-Jefferson,Brooklyn Nets,24.0,SG,21.0,6-7,220.0,1335480.0,2.01
Jarrett Jack,Brooklyn Nets,2.0,PG,32.0,6-3,200.0,6300000.0,1.91
Sergey Karasev,Brooklyn Nets,10.0,SG,22.0,6-7,208.0,1599840.0,2.01
Sean Kilpatrick,Brooklyn Nets,6.0,SG,26.0,6-4,219.0,134215.0,1.93
Shane Larkin,Brooklyn Nets,0.0,PG,23.0,5-11,175.0,1500000.0,1.8
Brook Lopez,Brooklyn Nets,11.0,C,28.0,7-0,275.0,19689000.0,2.13
Chris McCullough,Brooklyn Nets,1.0,PF,21.0,6-11,200.0,1140240.0,2.11
Willie Reed,Brooklyn Nets,33.0,PF,26.0,6-10,220.0,947276.0,2.08
Thomas Robinson,Brooklyn Nets,41.0,PF,25.0,6-10,237.0,981348.0,2.08
Henry Sims,Brooklyn Nets,14.0,C,26.0,6-10,248.0,947276.0,2.08
Donald Sloan,Brooklyn Nets,15.0,PG,28.0,6-3,205.0,947276.0,1.91
Thaddeus Young,Brooklyn Nets,30.0,PF,27.0,6-8,221.0,11235955.0,2.03
Arron Afflalo,New York Knicks,4.0,SG,30.0,6-5,210.0,8000000.0,1.96
Lou Amundson,New York Knicks,17.0,PF,33.0,6-9,220.0,1635476.0,2.06
Thanasis Antetokounmpo,New York Knicks,43.0,SF,23.0,6-7,205.0,30888.0,2.01
Carmelo Anthony,New York Knicks,7.0,SF,32.0,6-8,240.0,22875000.0,2.03
Jose Calderon,New York Knicks,3.0,PG,34.0,6-3,200.0,7402812.0,1.91
Cleanthony Early,New York Knicks,11.0,SF,25.0,6-8,210.0,845059.0,2.03
Langston Galloway,New York Knicks,2.0,SG,24.0,6-2,200.0,845059.0,1.88
Jerian Grant,New York Knicks,13.0,PG,23.0,6-4,195.0,1572360.0,1.93
Robin Lopez,New York Knicks,8.0,C,28.0,7-0,255.0,12650000.0,2.13
Kyle O'Quinn,New York Knicks,9.0,PF,26.0,6-10,250.0,3750000.0,2.08
Kristaps Porzingis,New York Knicks,6.0,PF,20.0,7-3,240.0,4131720.0,2.21
Kevin Seraphin,New York Knicks,1.0,C,26.0,6-10,278.0,2814000.0,2.08
Lance Thomas,New York Knicks,42.0,SF,28.0,6-8,235.0,1636842.0,2.03
Sasha Vujacic,New York Knicks,18.0,SG,32.0,6-7,195.0,947276.0,2.01
Derrick Williams,New York Knicks,23.0,PF,25.0,6-8,240.0,4000000.0,2.03
Tony Wroten,New York Knicks,5.0,SG,23.0,6-6,205.0,167406.0,1.98
Elton Brand,Philadelphia 76ers,42.0,PF,37.0,6-9,254.0,2839073.0,2.06
Isaiah Canaan,Philadelphia 76ers,0.0,PG,25.0,6-0,201.0,947276.0,1.83
Robert Covington,Philadelphia 76ers,33.0,SF,25.0,6-9,215.0,1000000.0,2.06
Joel Embiid,Philadelphia 76ers,21.0,C,22.0,7-0,250.0,4626960.0,2.13
Jerami Grant,Philadelphia 76ers,39.0,SF,22.0,6-8,210.0,845059.0,2.03
Richaun Holmes,Philadelphia 76ers,22.0,PF,22.0,6-10,245.0,1074169.0,2.08
Carl Landry,Philadelphia 76ers,7.0,PF,32.0,6-9,248.0,6500000.0,2.06
Kendall Marshall,Philadelphia 76ers,5.0,PG,24.0,6-4,200.0,2144772.0,1.93
T.J. McConnell,Philadelphia 76ers,12.0,PG,24.0,6-2,200.0,525093.0,1.88
Nerlens Noel,Philadelphia 76ers,4.0,PF,22.0,6-11,228.0,3457800.0,2.11
Jahlil Okafor,Philadelphia 76ers,8.0,C,20.0,6-11,275.0,4582680.0,2.11
Ish Smith,Philadelphia 76ers,1.0,PG,27.0,6-0,175.0,947276.0,1.83
Nik Stauskas,Philadelphia 76ers,11.0,SG,22.0,6-6,205.0,2869440.0,1.98
Hollis Thompson,Philadelphia 76ers,31.0,SG,25.0,6-8,206.0,947276.0,2.03
Christian Wood,Philadelphia 76ers,35.0,PF,20.0,6-11,220.0,525093.0,2.11
Bismack Biyombo,Toronto Raptors,8.0,C,23.0,6-9,245.0,2814000.0,2.06
Bruno Caboclo,Toronto Raptors,20.0,SF,20.0,6-9,205.0,1524000.0,2.06
DeMarre Carroll,Toronto Raptors,5.0,SF,29.0,6-8,212.0,13600000.0,2.03
DeMar DeRozan,Toronto Raptors,10.0,SG,26.0,6-7,220.0,10050000.0,2.01
James Johnson,Toronto Raptors,3.0,PF,29.0,6-9,250.0,2500000.0,2.06
Cory Joseph,Toronto Raptors,6.0,PG,24.0,6-3,190.0,7000000.0,1.91
Kyle Lowry,Toronto Raptors,7.0,PG,30.0,6-0,205.0,12000000.0,1.83
Lucas Nogueira,Toronto Raptors,92.0,C,23.0,7-0,220.0,1842000.0,2.13
Patrick Patterson,Toronto Raptors,54.0,PF,27.0,6-9,235.0,6268675.0,2.06
Norman Powell,Toronto Raptors,24.0,SG,23.0,6-4,215.0,650000.0,1.93
Terrence Ross,Toronto Raptors,31.0,SF,25.0,6-7,195.0,3553917.0,2.01
Luis Scola,Toronto Raptors,4.0,PF,36.0,6-9,240.0,2900000.0,2.06
Jason Thompson,Toronto Raptors,1.0,PF,29.0,6-11,250.0,245177.0,2.11
Jonas Valanciunas,Toronto Raptors,17.0,C,24.0,7-0,255.0,4660482.0,2.13
Delon Wright,Toronto Raptors,55.0,PG,24.0,6-5,190.0,1509360.0,1.96
Leandro Barbosa,Golden State Warriors,19.0,SG,33.0,6-3,194.0,2500000.0,1.91
Harrison Barnes,Golden State Warriors,40.0,SF,24.0,6-8,225.0,3873398.0,2.03
Andrew Bogut,Golden State Warriors,12.0,C,31.0,7-0,260.0,13800000.0,2.13
Ian Clark,Golden State Warriors,21.0,SG,25.0,6-3,175.0,947276.0,1.91
Stephen Curry,Golden State Warriors,30.0,PG,28.0,6-3,190.0,11370786.0,1.91
Festus Ezeli,Golden State Warriors,31.0,C,26.0,6-11,265.0,2008748.0,2.11
Draymond Green,Golden State Warriors,23.0,PF,26.0,6-7,230.0,14260870.0,2.01
Andre Iguodala,Golden State Warriors,9.0,SF,32.0,6-6,215.0,11710456.0,1.98
Shaun Livingston,Golden State Warriors,34.0,PG,30.0,6-7,192.0,5543725.0,2.01
Kevon Looney,Golden State Warriors,36.0,SF,20.0,6-9,220.0,1131960.0,2.06
James Michael McAdoo,Golden State Warriors,20.0,SF,23.0,6-9,240.0,845059.0,2.06
Brandon Rush,Golden State Warriors,4.0,SF,30.0,6-6,220.0,1270964.0,1.98
Marreese Speights,Golden State Warriors,5.0,C,28.0,6-10,255.0,3815000.0,2.08
Klay Thompson,Golden State Warriors,11.0,SG,26.0,6-7,215.0,15501000.0,2.01
Anderson Varejao,Golden State Warriors,18.0,PF,33.0,6-11,273.0,289755.0,2.11
Cole Aldrich,Los Angeles Clippers,45.0,C,27.0,6-11,250.0,1100602.0,2.11
Jeff Ayres,Los Angeles Clippers,19.0,PF,29.0,6-9,250.0,111444.0,2.06
Jamal Crawford,Los Angeles Clippers,11.0,SG,36.0,6-5,195.0,5675000.0,1.96
Branden Dawson,Los Angeles Clippers,22.0,SF,23.0,6-6,225.0,525093.0,1.98
Jeff Green,Los Angeles Clippers,8.0,SF,29.0,6-9,235.0,9650000.0,2.06
Blake Griffin,Los Angeles Clippers,32.0,PF,27.0,6-10,251.0,18907726.0,2.08
Wesley Johnson,Los Angeles Clippers,33.0,SF,28.0,6-7,215.0,1100602.0,2.01
DeAndre Jordan,Los Angeles Clippers,6.0,C,27.0,6-11,265.0,19689000.0,2.11
Luc Richard Mbah a Moute,Los Angeles Clippers,12.0,PF,29.0,6-8,230.0,947276.0,2.03
Chris Paul,Los Angeles Clippers,3.0,PG,31.0,6-0,175.0,21468695.0,1.83
Paul Pierce,Los Angeles Clippers,34.0,SF,38.0,6-7,235.0,3376000.0,2.01
Pablo Prigioni,Los Angeles Clippers,9.0,PG,39.0,6-3,185.0,947726.0,1.91
JJ Redick,Los Angeles Clippers,4.0,SG,31.0,6-4,190.0,7085000.0,1.93
Austin Rivers,Los Angeles Clippers,25.0,PG,23.0,6-4,200.0,3110796.0,1.93
C.J. Wilcox,Los Angeles Clippers,30.0,SG,25.0,6-5,195.0,1159680.0,1.96
Brandon Bass,Los Angeles Lakers,2.0,PF,31.0,6-8,250.0,3000000.0,2.03
Tarik Black,Los Angeles Lakers,28.0,C,24.0,6-9,250.0,845059.0,2.06
Anthony Brown,Los Angeles Lakers,3.0,SF,23.0,6-7,210.0,700000.0,2.01
Kobe Bryant,Los Angeles Lakers,24.0,SF,37.0,6-6,212.0,25000000.0,1.98
Jordan Clarkson,Los Angeles Lakers,6.0,PG,24.0,6-5,194.0,845059.0,1.96
Roy Hibbert,Los Angeles Lakers,17.0,C,29.0,7-2,270.0,15592217.0,2.18
Marcelo Huertas,Los Angeles Lakers,9.0,PG,33.0,6-3,200.0,525093.0,1.91
Ryan Kelly,Los Angeles Lakers,4.0,PF,25.0,6-11,230.0,1724250.0,2.11
Larry Nance Jr.,Los Angeles Lakers,7.0,PF,23.0,6-9,230.0,1155600.0,2.06
Julius Randle,Los Angeles Lakers,30.0,PF,21.0,6-9,250.0,3132240.0,2.06
D'Angelo Russell,Los Angeles Lakers,1.0,PG,20.0,6-5,195.0,5103120.0,1.96
Robert Sacre,Los Angeles Lakers,50.0,C,27.0,7-0,270.0,981348.0,2.13
Louis Williams,Los Angeles Lakers,23.0,SG,29.0,6-1,175.0,7000000.0,1.85
Metta World Peace,Los Angeles Lakers,37.0,SF,36.0,6-7,260.0,947276.0,2.01
Nick Young,Los Angeles Lakers,0.0,SF,31.0,6-7,210.0,5219169.0,2.01
Eric Bledsoe,Phoenix Suns,2.0,PG,26.0,6-1,190.0,13500000.0,1.85
Devin Booker,Phoenix Suns,1.0,SG,19.0,6-6,206.0,2127840.0,1.98
Chase Budinger,Phoenix Suns,10.0,SF,28.0,6-7,209.0,206192.0,2.01
Tyson Chandler,Phoenix Suns,4.0,C,33.0,7-1,240.0,13000000.0,2.16
Archie Goodwin,Phoenix Suns,20.0,SG,21.0,6-5,200.0,1160160.0,1.96
John Jenkins,Phoenix Suns,23.0,SG,25.0,6-4,215.0,981348.0,1.93
Brandon Knight,Phoenix Suns,3.0,PG,24.0,6-3,189.0,13500000.0,1.91
Alex Len,Phoenix Suns,21.0,C,22.0,7-1,260.0,3807120.0,2.16
Jon Leuer,Phoenix Suns,30.0,PF,27.0,6-10,228.0,1035000.0,2.08
Phil Pressey,Phoenix Suns,25.0,PG,25.0,5-11,175.0,55722.0,1.8
Ronnie Price,Phoenix Suns,14.0,PG,32.0,6-2,190.0,947276.0,1.88
Mirza Teletovic,Phoenix Suns,35.0,PF,30.0,6-9,242.0,5500000.0,2.06
P.J. Tucker,Phoenix Suns,17.0,SF,31.0,6-6,245.0,5500000.0,1.98
T.J. Warren,Phoenix Suns,12.0,SF,22.0,6-8,230.0,2041080.0,2.03
Alan Williams,Phoenix Suns,15.0,C,23.0,6-8,260.0,83397.0,2.03
Quincy Acy,Sacramento Kings,13.0,SF,25.0,6-7,240.0,981348.0,2.01
James Anderson,Sacramento Kings,5.0,SG,27.0,6-6,213.0,1015421.0,1.98
Marco Belinelli,Sacramento Kings,3.0,SG,30.0,6-5,210.0,6060606.0,1.96
Caron Butler,Sacramento Kings,31.0,SF,36.0,6-7,228.0,1449187.0,2.01
Omri Casspi,Sacramento Kings,18.0,SF,27.0,6-9,225.0,2836186.0,2.06
Willie Cauley-Stein,Sacramento Kings,0.0,C,22.0,7-0,240.0,3398280.0,2.13
Darren Collison,Sacramento Kings,7.0,PG,28.0,6-0,175.0,5013559.0,1.83
DeMarcus Cousins,Sacramento Kings,15.0,C,25.0,6-11,270.0,15851950.0,2.11
Seth Curry,Sacramento Kings,30.0,SG,25.0,6-2,185.0,947276.0,1.88
Duje Dukan,Sacramento Kings,26.0,PF,24.0,6-9,220.0,525093.0,2.06
Rudy Gay,Sacramento Kings,8.0,SF,29.0,6-8,230.0,12403101.0,2.03
Kosta Koufos,Sacramento Kings,41.0,C,27.0,7-0,265.0,7700000.0,2.13
Ben McLemore,Sacramento Kings,23.0,SG,23.0,6-5,195.0,3156600.0,1.96
Eric Moreland,Sacramento Kings,25.0,PF,24.0,6-10,238.0,845059.0,2.08
Rajon Rondo,Sacramento Kings,9.0,PG,30.0,6-1,186.0,9500000.0,1.85
Cameron Bairstow,Chicago Bulls,41.0,PF,25.0,6-9,250.0,845059.0,2.06
Aaron Brooks,Chicago Bulls,0.0,PG,31.0,6-0,161.0,2250000.0,1.83
Jimmy Butler,Chicago Bulls,21.0,SG,26.0,6-7,220.0,16407500.0,2.01
Mike Dunleavy,Chicago Bulls,34.0,SG,35.0,6-9,230.0,4500000.0,2.06
Cristiano Felicio,Chicago Bulls,6.0,PF,23.0,6-10,275.0,525093.0,2.08
Pau Gasol,Chicago Bulls,16.0,C,35.0,7-0,250.0,7448760.0,2.13
Taj Gibson,Chicago Bulls,22.0,PF,30.0,6-9,225.0,8500000.0,2.06
Justin Holiday,Chicago Bulls,7.0,SG,27.0,6-6,185.0,947276.0,1.98
Doug McDermott,Chicago Bulls,3.0,SF,24.0,6-8,225.0,2380440.0,2.03
Nikola Mirotic,Chicago Bulls,44.0,PF,25.0,6-10,220.0,5543725.0,2.08
E'Twaun Moore,Chicago Bulls,55.0,SG,27.0,6-4,191.0,1015421.0,1.93
Joakim Noah,Chicago Bulls,13.0,C,31.0,6-11,232.0,13400000.0,2.11
Bobby Portis,Chicago Bulls,5.0,PF,21.0,6-11,230.0,1391160.0,2.11
Derrick Rose,Chicago Bulls,1.0,PG,27.0,6-3,190.0,20093064.0,1.91
Tony Snell,Chicago Bulls,20.0,SF,24.0,6-7,200.0,1535880.0,2.01
Matthew Dellavedova,Cleveland Cavaliers,8.0,PG,25.0,6-4,198.0,1147276.0,1.93
Channing Frye,Cleveland Cavaliers,9.0,PF,33.0,6-11,255.0,8193029.0,2.11
Kyrie Irving,Cleveland Cavaliers,2.0,PG,24.0,6-3,193.0,16407501.0,1.91
LeBron James,Cleveland Cavaliers,23.0,SF,31.0,6-8,250.0,22970500.0,2.03
Richard Jefferson,Cleveland Cavaliers,24.0,SF,35.0,6-7,233.0,947276.0,2.01
Dahntay Jones,Cleveland Cavaliers,30.0,SG,35.0,6-6,225.0,2839073.0,1.98
James Jones,Cleveland Cavaliers,1.0,SG,35.0,6-8,218.0,947276.0,2.03
Sasha Kaun,Cleveland Cavaliers,14.0,C,31.0,6-11,260.0,1276000.0,2.11
Kevin Love,Cleveland Cavaliers,0.0,PF,27.0,6-10,251.0,19689000.0,2.08
Jordan McRae,Cleveland Cavaliers,12.0,SG,25.0,6-5,179.0,111196.0,1.96
Timofey Mozgov,Cleveland Cavaliers,20.0,C,29.0,7-1,275.0,4950000.0,2.16
Iman Shumpert,Cleveland Cavaliers,4.0,SG,25.0,6-5,220.0,8988765.0,1.96
J.R. Smith,Cleveland Cavaliers,5.0,SG,30.0,6-6,225.0,5000000.0,1.98
Tristan Thompson,Cleveland Cavaliers,13.0,C,25.0,6-9,238.0,14260870.0,2.06
Mo Williams,Cleveland Cavaliers,52.0,PG,33.0,6-1,198.0,2100000.0,1.85
Joel Anthony,Detroit Pistons,50.0,C,33.0,6-9,245.0,2500000.0,2.06
Aron Baynes,Detroit Pistons,12.0,C,29.0,6-10,260.0,6500000.0,2.08
Steve Blake,Detroit Pistons,22.0,PG,36.0,6-3,172.0,2170465.0,1.91
Lorenzo Brown,Detroit Pistons,17.0,PG,25.0,6-5,189.0,111444.0,1.96
Reggie Bullock,Detroit Pistons,25.0,SF,25.0,6-7,205.0,1252440.0,2.01
Kentavious Caldwell-Pope,Detroit Pistons,5.0,SG,23.0,6-5,205.0,2891760.0,1.96
